in s,C1 in V
-2.9824358E+00,-5.12695E-03
-2.9823898E+00,-6.59180E-03
-2.9823437E+00,-4.63867E-03
-2.9822976E+00,-5.12695E-03
-2.9822515E+00,-3.66211E-03
-2.9822054E+00,-4.63867E-03
-2.9821594E+00,-5.61523E-03
-2.9821133E+00,-3.66211E-03
-2.9820672E+00,-5.61523E-03
-2.9820211E+00,-5.12695E-03
-2.9819750E+00,-5.61523E-03
-2.9819290E+00,-4.63867E-03
-2.9818829E+00,-6.10352E-03
-2.9818368E+00,-5.61523E-03
-2.9817907E+00,-5.61523E-03
-2.9817446E+00,-6.10352E-03
-2.9816986E+00,-6.10352E-03
-2.9816525E+00,-5.61523E-03
-2.9816064E+00,-6.59180E-03
-2.9815603E+00,-6.10352E-03
-2.9815142E+00,-5.12695E-03
-2.9814682E+00,-4.15039E-03
-2.9814221E+00,-4.63867E-03
-2.9813760E+00,-6.59180E-03
-2.9813299E+00,-4.15039E-03
-2.9812838E+00,-7.08008E-03
-2.9812378E+00,-3.17383E-03
-2.9811917E+00,-5.61523E-03
-2.9811456E+00,-6.59180E-03
-2.9810995E+00,-5.61523E-03
-2.9810534E+00,-5.61523E-03
-2.9810074E+00,-4.15039E-03
-2.9809613E+00,-3.66211E-03
-2.9809152E+00,-5.12695E-03
-2.9808691E+00,-7.56836E-03
-2.9808230E+00,-5.61523E-03
-2.9807770E+00,-5.61523E-03
-2.9807309E+00,-5.61523E-03
-2.9806848E+00,-5.12695E-03
-2.9806387E+00,-5.61523E-03
-2.9805926E+00,-3.66211E-03
-2.9805466E+00,-4.15039E-03
-2.9805005E+00,-4.63867E-03
-2.9804544E+00,2.44141E-04
-2.9804083E+00,-5.61523E-03
-2.9803622E+00,-3.17383E-03
-2.9803162E+00,-6.59180E-03
-2.9802701E+00,-4.63867E-03
-2.9802240E+00,-5.61523E-03
-2.9801779E+00,-6.10352E-03
-2.9801318E+00,-4.63867E-03
-2.9800858E+00,-3.66211E-03
-2.9800397E+00,-4.15039E-03
-2.9799936E+00,-7.08008E-03
-2.9799475E+00,-5.61523E-03
-2.9799014E+00,-5.61523E-03
-2.9798554E+00,-5.12695E-03
-2.9798093E+00,-3.66211E-03
-2.9797632E+00,-6.59180E-03
-2.9797171E+00,-3.66211E-03
-2.9796710E+00,-4.15039E-03
-2.9796250E+00,-5.12695E-03
-2.9795789E+00,-7.08008E-03
-2.9795328E+00,-5.12695E-03
-2.9794867E+00,-5.61523E-03
-2.9794406E+00,-6.10352E-03
-2.9793946E+00,-1.00098E-02
-2.9793485E+00,-4.63867E-03
-2.9793024E+00,-5.12695E-03
-2.9792563E+00,-7.56836E-03
-2.9792102E+00,-4.63867E-03
-2.9791642E+00,-4.15039E-03
-2.9791181E+00,-7.32422E-04
-2.9790720E+00,-3.66211E-03
-2.9790259E+00,-5.61523E-03
-2.9789798E+00,-4.15039E-03
-2.9789338E+00,-4.63867E-03
-2.9788877E+00,-6.59180E-03
-2.9788416E+00,-3.17383E-03
-2.9787955E+00,-5.61523E-03
-2.9787494E+00,-6.10352E-03
-2.9787034E+00,-5.61523E-03
-2.9786573E+00,-5.61523E-03
-2.9786112E+00,-7.32422E-04
-2.9785651E+00,-5.12695E-03
-2.9785190E+00,-4.63867E-03
-2.9784730E+00,-6.59180E-03
-2.9784269E+00,-3.66211E-03
-2.9783808E+00,-5.61523E-03
-2.9783347E+00,-5.12695E-03
-2.9782886E+00,-4.15039E-03
-2.9782426E+00,-3.66211E-03
-2.9781965E+00,-4.63867E-03
-2.9781504E+00,-3.66211E-03
-2.9781043E+00,-6.59180E-03
-2.9780582E+00,-4.15039E-03
-2.9780122E+00,-5.61523E-03
-2.9779661E+00,-6.59180E-03
-2.9779200E+00,-3.66211E-03
-2.9778739E+00,-4.63867E-03
-2.9778278E+00,-7.08008E-03
-2.9777818E+00,-4.63867E-03
-2.9777357E+00,-4.63867E-03
-2.9776896E+00,-3.66211E-03
-2.9776435E+00,-5.61523E-03
-2.9775974E+00,-6.10352E-03
-2.9775514E+00,-5.61523E-03
-2.9775053E+00,-4.63867E-03
-2.9774592E+00,-4.63867E-03
-2.9774131E+00,-4.15039E-03
-2.9773670E+00,-5.61523E-03
-2.9773210E+00,-5.61523E-03
-2.9772749E+00,-5.12695E-03
-2.9772288E+00,-4.15039E-03
-2.9771827E+00,-5.61523E-03
-2.9771366E+00,-5.61523E-03
-2.9770906E+00,-2.44141E-04
-2.9770445E+00,-3.17383E-03
-2.9769984E+00,-5.61523E-03
-2.9769523E+00,-5.61523E-03
-2.9769062E+00,-4.15039E-03
-2.9768602E+00,-4.15039E-03
-2.9768141E+00,-5.61523E-03
-2.9767680E+00,-3.66211E-03
-2.9767219E+00,-3.17383E-03
-2.9766758E+00,-3.66211E-03
-2.9766298E+00,-5.12695E-03
-2.9765837E+00,-4.63867E-03
-2.9765376E+00,-5.12695E-03
-2.9764915E+00,-7.08008E-03
-2.9764454E+00,-5.12695E-03
-2.9763994E+00,-5.12695E-03
-2.9763533E+00,-8.05664E-03
-2.9763072E+00,-5.12695E-03
-2.9762611E+00,-3.66211E-03
-2.9762150E+00,-5.12695E-03
-2.9761690E+00,-5.61523E-03
-2.9761229E+00,-4.15039E-03
-2.9760768E+00,-7.08008E-03
-2.9760307E+00,-5.61523E-03
-2.9759846E+00,-5.12695E-03
-2.9759386E+00,-5.61523E-03
-2.9758925E+00,-6.59180E-03
-2.9758464E+00,-5.12695E-03
-2.9758003E+00,-6.10352E-03
-2.9757542E+00,-5.61523E-03
-2.9757082E+00,-5.12695E-03
-2.9756621E+00,-6.10352E-03
-2.9756160E+00,-5.12695E-03
-2.9755699E+00,-3.17383E-03
-2.9755238E+00,-5.61523E-03
-2.9754778E+00,-2.68555E-03
-2.9754317E+00,-5.12695E-03
-2.9753856E+00,-6.10352E-03
-2.9753395E+00,-5.12695E-03
-2.9752934E+00,-5.61523E-03
-2.9752474E+00,-4.63867E-03
-2.9752013E+00,-3.66211E-03
-2.9751552E+00,-5.61523E-03
-2.9751091E+00,-5.61523E-03
-2.9750630E+00,-5.12695E-03
-2.9750170E+00,-6.59180E-03
-2.9749709E+00,-9.03320E-03
-2.9749248E+00,-3.66211E-03
-2.9748787E+00,-6.59180E-03
-2.9748326E+00,-5.61523E-03
-2.9747866E+00,-4.63867E-03
-2.9747405E+00,-5.61523E-03
-2.9746944E+00,-4.63867E-03
-2.9746483E+00,-3.66211E-03
-2.9746022E+00,-5.12695E-03
-2.9745562E+00,-7.08008E-03
-2.9745101E+00,-2.68555E-03
-2.9744640E+00,-7.56836E-03
-2.9744179E+00,-5.12695E-03
-2.9743718E+00,-5.61523E-03
-2.9743258E+00,-6.59180E-03
-2.9742797E+00,-4.63867E-03
-2.9742336E+00,-4.63867E-03
-2.9741875E+00,-4.15039E-03
-2.9741414E+00,-4.63867E-03
-2.9740954E+00,-4.15039E-03
-2.9740493E+00,-3.66211E-03
-2.9740032E+00,-7.08008E-03
-2.9739571E+00,-5.61523E-03
-2.9739110E+00,-6.59180E-03
-2.9738650E+00,-5.61523E-03
-2.9738189E+00,-5.12695E-03
-2.9737728E+00,-5.12695E-03
-2.9737267E+00,-6.10352E-03
-2.9736806E+00,-3.66211E-03
-2.9736346E+00,-5.61523E-03
-2.9735885E+00,-3.66211E-03
-2.9735424E+00,-5.12695E-03
-2.9734963E+00,-4.63867E-03
-2.9734502E+00,-7.56836E-03
-2.9734042E+00,-5.12695E-03
-2.9733581E+00,-6.10352E-03
-2.9733120E+00,-7.08008E-03
-2.9732659E+00,-6.10352E-03
-2.9732198E+00,-4.15039E-03
-2.9731738E+00,-5.61523E-03
-2.9731277E+00,-4.15039E-03
-2.9730816E+00,-5.61523E-03
-2.9730355E+00,-5.61523E-03
-2.9729894E+00,-4.15039E-03
-2.9729434E+00,-2.68555E-03
-2.9728973E+00,-3.66211E-03
-2.9728512E+00,-5.12695E-03
-2.9728051E+00,-7.08008E-03
-2.9727590E+00,-1.22070E-03
-2.9727130E+00,2.44141E-04
-2.9726669E+00,-2.68555E-03
-2.9726208E+00,-3.66211E-03
-2.9725747E+00,-3.66211E-03
-2.9725286E+00,-4.63867E-03
-2.9724826E+00,-6.10352E-03
-2.9724365E+00,-5.61523E-03
-2.9723904E+00,-2.44141E-04
-2.9723443E+00,-4.63867E-03
-2.9722982E+00,-4.15039E-03
-2.9722522E+00,-4.15039E-03
-2.9722061E+00,-6.59180E-03
-2.9721600E+00,-3.66211E-03
-2.9721139E+00,-6.10352E-03
-2.9720678E+00,-3.66211E-03
-2.9720218E+00,-5.12695E-03
-2.9719757E+00,-4.63867E-03
-2.9719296E+00,-5.61523E-03
-2.9718835E+00,-6.10352E-03
-2.9718374E+00,-5.61523E-03
-2.9717914E+00,-4.15039E-03
-2.9717453E+00,-2.68555E-03
-2.9716992E+00,-5.61523E-03
-2.9716531E+00,-5.61523E-03
-2.9716070E+00,-5.61523E-03
-2.9715610E+00,-2.19727E-03
-2.9715149E+00,-3.66211E-03
-2.9714688E+00,-5.12695E-03
-2.9714227E+00,-3.17383E-03
-2.9713766E+00,-5.61523E-03
-2.9713306E+00,-4.15039E-03
-2.9712845E+00,-6.10352E-03
-2.9712384E+00,-4.63867E-03
-2.9711923E+00,-5.12695E-03
-2.9711462E+00,-1.09863E-02
-2.9711002E+00,-6.59180E-03
-2.9710541E+00,-7.08008E-03
-2.9710080E+00,-5.61523E-03
-2.9709619E+00,-4.15039E-03
-2.9709158E+00,-4.63867E-03
-2.9708698E+00,-5.61523E-03
-2.9708237E+00,-5.12695E-03
-2.9707776E+00,-3.66211E-03
-2.9707315E+00,-6.10352E-03
-2.9706854E+00,-7.08008E-03
-2.9706394E+00,-4.63867E-03
-2.9705933E+00,-5.61523E-03
-2.9705472E+00,-5.61523E-03
-2.9705011E+00,-7.08008E-03
-2.9704550E+00,-3.66211E-03
-2.9704090E+00,-3.66211E-03
-2.9703629E+00,-3.17383E-03
-2.9703168E+00,-4.15039E-03
-2.9702707E+00,-5.12695E-03
-2.9702246E+00,-5.61523E-03
